REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
04346;CORTINA DE CABINE;CONTINUO;TAGLIARINI RAYON LINEN LISO;CONTINUO;;;1
06140;VESTIDO CROPPED CREATIVE;CANCELADO;PATOU CHINA AT2302;VERÃO 2026;CREATIVE;;3
06563;CALCA COS ELASTICO;SEMANA;TECIDO DIVERSOS BAZAR;BAZAR FABRICA;;FC - BAZAR - 2025        ;1
06817;SHORT SELECAO;SEMANA 21;PATOU CHINA AT2302;INVERNO 2026;COPA;FC - INV26 SEM 21 - 18/05;1
02152;CROPPED GRECIA;SEMANA;;VERÃO 2021;GRECIA;;1
02538;VESTIDO ART;SEMANA;;INVERNO 2021;;;1
02900;CALCA CITRON;SEMANA;;INVERNO 2022;;;1
03260;CALCA ABSTRATO;SEMANA 01;EST ABSTRATA NATHALY 21677;ALTO VERÃO 2023;;FC - AV23 SEM01 - 02/01;1
06131;PANTALONA WORK COLLECTION 4;SEMANA 21;PATOU CHINA AT2302;CONTINUO;WORK;FC - VER26 BASIC - 01/07 ;1
06176;VESTIDO CURTO NARA;SEMANA 45;BROMELIA GLOW NARA 00S328;ALTO VERÃO 2026;NARA;FC - AV26 SEM 45 - 03/11;1
00440;VESTIDO BEIJA FLOR;SEMANA;;VERÃO 2017;;;1
01291;BODY COLOMBINA;SEMANA;;VERÃO 2019;;;2
01857;REGATA TRANSPASSE;SEMANA;;OFF;;;9
03640;VESTIDO MD RUBI;SEMANA;;ALTO VERÃO 2023;;;1
04013;BLUSA CANOA EST BLANCHE;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;;4
01245;VESTIDO VERAO;SEMANA;;VERÃO 2019;;;1
03323;MACACAO POESIA;SEMANA;;VERÃO 2023;POESIA;;1
01089;REGATA POA BAMBU;SEMANA;;INVERNO 2018;;;1
03024;VESTIDO MD CORDEL;SEMANA;;INVERNO 2022;;;7
04194;BLAZER SWEET CROPPED;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;FC - VER24 SEM45 - 06/11;30
01607;VESTIDO CONSTELACAO;SEMANA;;VERÃO 2020;;;1
01841;KIMONO GLAM;SEMANA;;VERÃO 2020;;;1
02150;CALCA MILOS;SEMANA;;VERÃO 2021;;;1
05535;PANTALONA CANELA;SEMANA 18;ALGODAO BORDADO CANELA;INVERNO 2025;CANELA;FC - INV25 SEM 18 - 28/04;1
02119;SAIA EST SANTORINI;SEMANA;;VERÃO 2021;;;1
02528;VESTIDO INSTANTE;SEMANA;;INVERNO 2021;;;1
03274;CROPPED BATIK;SEMANA;EST BATIK BROMELIA 987943301 LIA LUREX;VERÃO 2023;;FC - VER23 SEM50 - 12/12;1
03693;CROPPED PARAISO;SEMANA 09;MONTE VERNON POLY LINEN;INVERNO 2023;;FC - AV23 SEM06 - 06/02;4
04427;PANTALONA SOLEIL;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;VERÃO 2024;SOLEIL;;3
06001;VESTIDO AMPLO ART;SEMANA 42;ALGODAO BORDADO ART;ALTO VERÃO 2026;ART;FC - AV26 SEM 42 - 13/10;2
06889;PANTALONA TUNE;SEMANA 32;ALFAIATARIA SOHO (RW54958);VERÃO 2027;TUNE;FC - VER27 SEM 32 - 03/08;3
00501;PANTACOURT FREE;SEMANA;;OUTONO/INVERNO 2017;;;2
02702;MACACAO MD FEELING;SEMANA;;OFF;;;5
03737;BLUSA IKAT;SEMANA 15;EST IKAT BASE BROMELIA;INVERNO 2023;IKAT;FC - INV23 SEM15 - 10/04;1
04015;VESTIDO MIDI EST BLANCHE;SEMANA 32;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM32 - 07/08;1
00577;PANTALONA BARRADA;SEMANA;;OUTONO/INVERNO 2017;;;1
01184;CROPPED LITORAL;SEMANA;;VERÃO 2019;;;1
03748;MACACAO HONNEY;SEMANA 17;EST HONNEY BASE NATHALY;INVERNO 2023;HONNEY;FC - INV23 SEM17 - 24/04;1
04302;MACAQUINHO ALEGRIA OMBRO A OMBRO;SEMANA 48;TARSILA ECOIMA;ALTO VERÃO 2024;ALEGRIA;FC - VER24 SEM48 - 27/11;2
04831;CROPPED LIVING ALCA FINA;SEMANA 42;PATOU CHINA AT2302;ALTO VERÃO 2025;LIVING;FC - VER25 SEM 42 - 14/10;16
00088;REGATA STREPYBRA;SEMANA;;OUTONO/INVERNO 2016;;;6
06268;BLUSA DECOTE ARABICA;SEMANA 15;VISCOSE ESSENCIAL ARW800098;INVERNO 2026;ARABICA;FC - INV26 SEM 15 - 06/04;2
01264;MACACAO BALI;SEMANA;;VERÃO 2019;;;3
01811;VESTIDO MIDI ENTREMEIO;SEMANA;;OFF;;;6
04145;MACACAO AMERICA;SEMANA;;OUTONO/INVERNO 2016;;;0
07050;PANTALONA DAZING;SEMANA;;ALTO VERÃO 2027;DAZING;;1
02877;CROPPED MONET;SEMANA;;OFF;;;11
04357;VESTIDO CURTO LUZES;SEMANA 50;MUSSELINE TOQUE DE SEDA ESTAMPA LUZES;ALTO VERÃO 2024;LUZES;FC - VER24 SEM49 - 04/12;1
05945;SAIA CROPPED SELARON;SEMANA 49;BORDADO DOURADO FAM 43 AEW100363-14;ALTO VERÃO 2026;SELARON;FC - AV26 SEM 47 - 17/11;1
00790;SHORT XADREZ;SEMANA;;VERÃO 2018;;;1
06587;VESTIDO CELEBRARY DIV 8000;BAZAR;;BAZAR 2024;;;1
06733;CALCA ALADIM TOUR;CANCELADO;;VERÃO 2027;TOUR;;3
01192;MACACAO MIDI MAXI POA;SEMANA;;VERÃO 2019;;;1
02794;BLUSA ROSE;SEMANA;;VERÃO 2022;;;1
04709;MACACAO AMANHECER MANGA BUFANTE;SEMANA 28;LINHO CHINA (AT2314);VERÃO 2025;AMANHECER;FC - INV24 SEM26 - 24/06;9
05519;CALCA RETA BOLSO FAMILIA 11;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2026;;;3
05852;CALCA AFUNILADA PRINT;SEMANA 31;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2026;PRINT;FC - VER26 SEM 31 - 28/07;15
06996;PANTALONA GALA;SEMANA 45;;ALTO VERÃO 2027;GALA;;1
06171;VESTIDO CURTO MODERN;SEMANA 46;PATOU NEW (RW82311);ALTO VERÃO 2026;MODERN;FC - AV26 SEM 46 - 10/11;3
00294;BLUSA SAFARI 1/4;SEMANA;;OUTONO/INVERNO 2016;;;1
00471;SAIA TRANSPASSADA COQUEIRAL;SEMANA;;VERÃO 2017;;;1
01008;VESTIDO HIBISCO;SEMANA;;INVERNO 2018;;;1
02322;CROPPED ML ALFA;SEMANA;;OFF;;;5
03924;PARKA GAIA;SEMANA 24;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM24 - 12/06;4
04425;MACAQUINHO LOLA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;ALTO VERÃO 2024;LOLA;;1
04955;PANTALONA GRAFFIC CARGO;SEMANA 39;RAYON BALI ESTAMPA GRAFFIC;VERÃO 2025;GRAFFIC;FC - VER25 SEM 36 - 02/09;1
05659;CAMISA CROPPED FRESH;SEMANA 02;JALAPAO;ALTO VERÃO 2025;FRESH;FC - AV25 SEM 42 -14/10;16
06704;CROPPED TUNE;SEMANA 32;ALFAIATARIA SOHO (RW54958);VERÃO 2027;TUNE;FC - VER27 SEM 32 - 03/08;4
00862;REGATA LIRIO NUDE;SEMANA;;VERÃO 2018;;;1
00918;REGATA BRUMA;SEMANA;;VERÃO 2018;;;1
01773;MACAQUINHO AQUARELA NEW;SEMANA;;OFF;;;4
02555;VESTIDO MD SIMPLE;SEMANA;;OFF;;;4
03324;CALCA POESIA;SEMANA;;VERÃO 2023;POESIA;;1
03594;SHORT GOLD;SEMANA;;ALTO VERÃO 2023;;;1
05004;VESTIDO CURTO CHARME;SEMANA 38;BROMELIA ESTAMPA CHARME;VERÃO 2025;CHARME;FC - VER25 SEM 40- 30/09;1
00988;MACACAO MIDI NEW DETALHE;SEMANA;;INVERNO 2018;;;3
03233;TOP TERRA;SEMANA 09;INATIVO;INVERNO 2023;;FC - INV23 SEM10 - 06/02 ;7
03464;SAIA REFUGIO;SEMANA;LINHO ALGARVE;VERÃO 2023;;;5
05489;CROPPED DETALHE V MATCHA;CANCELADO;;VERÃO 2027;MATCHA;;3
06396;BODY INTENSE;SEMANA 16;MARROCAINE LISO AT2374PD;INVERNO 2026;INTENSE;FC - PECA FOTO - INV27;3
06867;VESTIDO GROOVE CROPPED;SEMANA 38;TRICOLINE FIO 50 ADS250506E;VERÃO 2027;GROOVE;;3
00477;VESTIDO GEOMETRICO LEQUE;SEMANA;;VERÃO 2017;;;1
01982;CAMISA TRIM;SEMANA;;OFF;;;8
02406;VESTIDO MD ESSENCIA;SEMANA;;INVERNO 2021;;;1
05388;SHORT ALFAIATARIA SUMMER;SEMANA 44;MARANT NATURE SUMMER (BETA);ALTO VERÃO 2025;NEW SUMMER;FC - VER25 SEM 45 - 04/11;9
00348;VESTIDO CURTO BOTANICO;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
01363;PANTALONA ALETA;SEMANA;;OFF;;;3
01646;PANTACOURT RECORTES JEANS;SEMANA;;INVERNO 2020;;;1
06302;PANTALONA CREMA;CANCELADO;;INVERNO 2026;CREMA;;4
06404;PANTALONA INTENSE;SEMANA 16;MARROCAINE LISO AT2374PD;INVERNO 2026;INTENSE;FC - INV26 SEM 16 - 13/04;2
00766;PANTALONA LACO CRU;SEMANA;;VERÃO 2018;;;2
01557;CROPPED MOVIMENTO;SEMANA;;INVERNO 2019;;;1
02781;VESTIDO CURTO JARDIM;SEMANA;;VERÃO 2022;;;1
05668;REGATA CAMINHAR;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2026;CAMINHAR;;3
05685;BLUSA DECOTE CANOA RIVER;SEMANA 18;MARROCAINE RW80136-1;INVERNO 2025;RIVER;FC - INV25 SEM 18 - 28/04;3
01285;SHORT ORIENTE;SEMANA;;VERÃO 2019;;;1
02245;CROPPED MG VERANEIO;SEMANA;;OFF;;;6
04550;BLUSA CELESTE DETALHE GOLA;SEMANA 17;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;;1
01055;VESTIDO LONGO BUQUE;SEMANA;;INVERNO 2018;;;1
01863;CROPPED DUO;SEMANA;;OFF;;;3
02346;BLUSA ESSENCIA;SEMANA;;INVERNO 2021;;;1
05356;VESTIDO LONGO SCARLET;SEMANA 42;PRIME SUPREME ESTAMPA SCARLET;VERÃO 2025;SCARLET;FC - VER25 SEM 42 - 14/10;1
05851;VESTIDO CROPPED POETIC;CANCELADO;TRICOLINE MILANO 3547;VERÃO 2026;POETIC;;3
05454;MACACAO PISCINE;SEMANA 49;PARISE EST PISCINE;ALTO VERÃO 2025;PISCINE;FC - VER25 SEM 49 - 02/12;1
06608;BLUSA MOCHA COM MANGA;SEMANA 10;VISCOSE JACQUARD AJW800173;INVERNO 2026;MOCHA;FC - INV26 SEM 10 - 02/03;2
03461;CALCA PREGAS;SEMANA 39;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2023;;;10
04238;SHORT LUNA BOLSOS;SEMANA 50;LINHO CHINA (AT2314);ALTO VERÃO 2024;LUNA;FC - VER24 SEM50 - 11/12;6
04303;MACACAO ALEGRIA;SEMANA 48;TARSILA ECOIMA;ALTO VERÃO 2024;ALEGRIA;FC - VER24 SEM48 - 27/11;4
04557;COLETE PEACH;SEMANA 28;MARRANT PEACH (AT2376);VERÃO 2025;PEACH;FC - INV24 SEM25 - 12/06;9
05444;CALCA BOLSOS ORVALHO;SEMANA 11;LINHO CHINA (AT2314);INVERNO 2025;ORVALHO;FC - INV25 SEM 11 - 10/03;3
00922;BLUSA POA VERDE;SEMANA;;VERÃO 2018;;;1
02202;VESTIDO MIDI BRISA;SEMANA;;VERÃO 2021;;;1
04702;BLUSA CELEBRAR ALCA AMARRACAO;SEMANA 28;HEAVY TWILL AIRJET;INVERNO 2024;CELEBRAR;FC - INV24 SEM23 - 03/06;9
04846;SHORT ENCANTAR DETALHE BOLSOS;SEMANA 32;LINHO CHINA (AT2314);VERÃO 2025;ENCANTAR;FC - VER25 SEM 33 - 12/08;9
05883;VESTIDO CURTO;CANCELADO;;VERÃO 2026;;;1
06172;VESTIDO CROPPED MODERN;SEMANA 46;PATOU NEW (RW82311);ALTO VERÃO 2026;MODERN;FC - AV26 SEM 46 - 10/11;3
06998;VESTIDO CROPPED GALA;SEMANA 45;;ALTO VERÃO 2027;GALA;;1
00369;BLUSA BABADO PAISLEY;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
00989;CAMISA BOHO;SEMANA;;OFF;;;2
