REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
06547;CALCA LUNGO;CANCELADO;;INVERNO 2026;LUNGO;;3
06852;REGATA TOUR;SEMANA 32;MARROCAINE RW80136-1;VERÃO 2027;TOUR;;3
01293;CROPPED SEREIA;SEMANA;;VERÃO 2019;;;2
02047;PANTALONA CRETA;SEMANA;;VERÃO 2021;;;4
02499;VESTIDO MOMENTO;SEMANA;;OFF;;;4
02957;MACAQUINHO LUAR;SEMANA;;OFF;;;3
05820;REGATA DECOTE V VILA;SEMANA 27;BROMELIA EST FAM 26 - LEQUES 9B1612;VERÃO 2026;VILA;FC - VER26 SEM 27 - 01/07;2
05927;CHEMISE MARIAS TEXTURA;CANCELADO;;ALTO VERÃO 2026;TEXTURA;;3
00357;VESTIDO CURTO GEOMETRICO;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
02232;CHEMISE VERANEIO;SEMANA;;VERÃO 2021;;;1
03595;REGATA GOLD;SEMANA;;ALTO VERÃO 2023;;;1
04185;CROPPED ARCOS CORSET;SEMANA 44;MARROCAINE EST ARCOS CHINA (PW80136-6);ALTO VERÃO 2024;ARCOS;FC - VER24 SEM44 - 30/10;1
04641;CROPPED AURA LASTEX COSTAS;SEMANA 19;TECIDO VERMONT CHINA RW55406-1;INVERNO 2024;AURA;FC - INV24 SEM 18- 29/04;9
00418;REGATA LIBERTY HINDU;SEMANA;;VERÃO 2017;;;1
00914;PANTALONA POA VERDE;SEMANA;;VERÃO 2018;;;1
00970;SAIA TRANSP PARDAL;SEMANA;;INVERNO 2018;;;1
01229;PANTACOURT BOTANICA;SEMANA;;VERÃO 2019;;;1
02169;BLUSA PALM;SEMANA;;OFF;;;6
02314;MACACAO CIRCULOS;SEMANA;;INVERNO 2021;;;1
02524;MACACAO INSTANTE;SEMANA;;INVERNO 2021;;;1
04075;VESTIDO LONGO DELUXE;SEMANA 35;PATOU CHINA AT2302;VERÃO 2024;SAFIRA;FC - VER24 SEM32 - 07/08;9
04180;BLAZER CROPPED AMARRACAO;SEMANA 43;PATOU CHINA AT2302;VERÃO 2024;NOIR;FC - VER24 SEM40 - 02/10;16
05655;VESTIDO LONGO IRISH;SEMANA 10;GGT EST IRISH;INVERNO 2026;IRISH;FC - INV26 SEM 10 - 02/03;1
06305;BLUSA SYNC;SEMANA 28;LINHO CHINA (AT2314);VERÃO 2027;SYNC;FC - VER27 SEM 28 - 06/07;2
06597;SHORT CINTURA ALTA;SEMANA;TECIDO DIVERSOS BAZAR;BAZAR FABRICA;;;2
06687;BLUSA SEM ALCA CAPPUCCINO;SEMANA 21;ALFAIATARIA BELANO BRW850279;INVERNO 2026;CAPPUCCINO;FC - INV26 SEM 21 - 18/05;2
00969;SAIA ENVELOPE NEW;SEMANA;;INVERNO 2018;;;2
01342;CAMISA CROP CAJU;SEMANA;;VERÃO 2019;;;1
01795;VESTIDO NO FRONTAL;SEMANA;;OFF;;;4
01833;TOP POA ARTE;SEMANA;;OFF;;;2
02291;VESTIDO TRICOT DUO;SEMANA;;VERÃO 2021;;;2
03957;CAMISA RELICARIO;SEMANA 32;FIRENZE CHINA;VERÃO 2024;RELICARIO;FC - VER24 SEM32 - 07/05;4
05620;VESTIDO CROPPED COAST;SEMANA 13;RAYON 40 EST COAST;INVERNO 2025;COAST;FC - VER25 SEM 48 - 25/11;1
06078;PANTALONA BOREAL;SEMANA 27;VISCOSE ESSENCIAL ARW800098;VERÃO 2026;BOREAL;FC - VER26 SEM 27 - 01/07;1
00544;CALCA FLARE;SEMANA;;OFF;;;2
02484;TOP FAIXA ANDROS;SEMANA;;OFF;;;11
04826;COLETE PETIT;SEMANA 30;MARANT CHINA;VERÃO 2025;PETIT;FC - VER25 SEM 31 - 29/07;16
01687;SHORT POA ARTE;SEMANA;;VERÃO 2020;;;2
02206;CALCA BRISA PB;SEMANA;;VERÃO 2021;;;1
02207;VESTIDO  BRISA  PB;SEMANA;;VERÃO 2021;;;1
02231;BLAZER VERANEIO;SEMANA;;VERÃO 2021;;;1
03906;BLUSA OMBREIRA ABRIGO;SEMANA 16;ALFAIATARIA MARANT;INVERNO 2023;;FC - INV23 SEM16 - 17/04;4
04458;MACACAO IRIS JOGGER;SEMANA 07;ESTAMPA IRIS;INVERNO 2024;IRIS;FC - AV24 SEM09 - 26/02;1
05896;BLAZER;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;;;1
02723;VESTIDO MIDI CHERIE;SEMANA;;VERÃO 2022;;;1
0280206;MACACAO CORTE MIX CORES;SEMANA;;VERÃO 2025;;;0
03755;VESTIDO CURTO DUO II;SEMANA 10;FIRENZE;INVERNO 2023;;FC - AV23 SEM02 - 09/01;4
05956;BLUSA PATOU GUACHE;CANCELADO;PATOU CHINA AT2302;ALTO VERÃO 2026;GUACHE;;5
06240;CALCA PANTALONA GRAVURA;SEMANA 42;MARROCAINE EST PW80136;ALTO VERÃO 2026;GRAVURA;FC - AV26 SEM 42 - 13/10;1
00138;REGATA COPAS;SEMANA;;OUTONO/INVERNO 2016;;;1
00865;CROPPED SUMMER;SEMANA;;VERÃO 2018;;;3
01511;PANTALONA ANIMAL PRINT;SEMANA;;INVERNO 2019;;;1
01842;MACACAO BOTOES;SEMANA;;OFF;;;2
02402;REGATA FLOW;SEMANA;;OFF;FLOW;;1
0280104;CALCA RETA ONDURAS;SEMANA;;VERÃO 2025;;;0
03068;VESTIDO MD ENCANTO;SEMANA;;INVERNO 2022;ENCANTO;;1
03524;CROPPED GOLD;CANCELADO;;ALTO VERÃO 2023;;;1
06246;BLUSA TRESSE;SEMANA 49;MARROCAINE RW80136-1;ALTO VERÃO 2026;TRESSE;FC - AV26 SEM 46 - 10/11;3
05670;BLAZER ARTICO LAPELAS;SEMANA 15;FLANELA LISTRADA ARTICO;INVERNO 2025;ARTICO;FC - INV25 SEM 15 - 07/04;3
05698;SAIA LAPIS TWIGGY;CANCELADO;ATACAMA CHINA (AT-1909);ALTO VERÃO 2025;TWIGGY;;1
00375;VESTIDO COQUEIRO;SEMANA;;VERÃO 2017;;;1
02946;SHORT VIBRANTE;SEMANA;;OFF;VIBRANTE;;1
03635;BLAZER LEOPARDO;CANCELADO;;ALTO VERÃO 2023;LEOPARDO;;1
02479;CROPPED WAY;SEMANA;;INVERNO 2021;;;1
05919;CROPPED DETALHE NO PONTAL;SEMANA 35;VISCOSE FIO TINTO;VERÃO 2026;PONTAL;FC - VER26 SEM 36 - 01/09;1
06410;CALCA CAPPUCCINO;CANCELADO;;INVERNO 2026;CAPPUCCINO;;2
01072;MAXI CARDIGAN PLISSADO;SEMANA;;INVERNO 2018;;;2
01818;REGATA CHEVRON DUO;SEMANA;;OFF;;;2
04072;CAMISA TECIDO PESPONTADA;SEMANA 36;VISCOSE SARJADA SINERGY;VERÃO 2024;MAGIA;FC - VER23 SEM36 - 08/09;20
06269;SHORT ARABICA;SEMANA 15;VISCOSE ESSENCIAL ARW800098;INVERNO 2026;ARABICA;FC - INV26 SEM 15 - 06/04;2
00937;BLUSA GOTA AMSTERDA;SEMANA;;VERÃO 2018;CACTO;;1
01824;PANTALONA PONTILHISMO;SEMANA;;VERÃO 2020;;;1
06416;BLAZER RISTRETTO;SEMANA 18;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2026;RISTRETTO;FC - PECA FOTO - INV27   ;5
00082;REGATA ABACAXI;SEMANA;;OUTONO/INVERNO 2016;;;1
02239;BLUSA ANDROS;SEMANA;;OFF;;;6
03500;BLUSA OMBREIRA NY;SEMANA 46;INATIVO;VERÃO 2023;;FC - VER23 SEM46 - 14/11;5
04470;MACACAO SWEET BUSTO TRANSPASSE;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;FC - VER24 SEM45 - 06/11;2
05524;BLAZER CROPPED BORDADO SELENITA;CANCELADO;ETIQUETA COLLECTION;INVERNO 2025;SELENITA;;2
05928;MACACAO LONGO COM VIES TEXTURA;CANCELADO;;ALTO VERÃO 2026;TEXTURA;;2
06825;CAMISA PEPLUM GROOVE;SEMANA 38;TRICOLINE FIO 50 ADS250506E;VERÃO 2027;GROOVE;;3
06863;CAMISA LOVE SUNSET;SEMANA 36;LINHO CHINA (AT2314);VERÃO 2027;LOVE SUNSET;FC - VER27 SEM 36 - 01/09;4
00424;VESTIDO LONGO WHITE;SEMANA;;VERÃO 2017;;;1
00571;CROPPED TRANSPASSADO POA;SEMANA;;OUTONO/INVERNO 2017;;;1
00857;PANTALONA BASIC FRESH MARINHO;SEMANA;;VERÃO 2018;;;1
01124;REGATA MISTIC;SEMANA;;VERÃO 2019;;;1
02121;CROPP EST SANTORINI;SEMANA;;VERÃO 2021;;;1
02906;CALCA HERANCA;SEMANA;;OFF;HERANÇA;;1
04629;PANTALONA RAVENA;SEMANA 28;PATOU NEW (RW82311);VERÃO 2025;RAVENA;FC - INV24 SEM19 - 04/05;9
05539;CROPPED ARTICO DETALHE PALA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2025;ARTICO;;3
05622;SHORT PREGAS SOUL;SEMANA 42;TAGLIARINI RAYON LINEN LISO;ALTO VERÃO 2025;SOUL;FC - VER25 SEM 42 - 14/10;4
05900;REGATA DECOTE RETO DOM;SEMANA 31;MARROCAINE RW80136-1;VERÃO 2026;DOM;FC - VER26 SEM 31 - 28/07;2
00390;BATA INDIE;SEMANA;;OUTONO/INVERNO 2016;;;2
00621;SAIA TRANSP LINHA;SEMANA;;OUTONO/INVERNO 2017;;;1
01780;CROPPED TIE DYE;SEMANA;;VERÃO 2020;;;1
01799;KIMONO TAITI;SEMANA;;VERÃO 2020;;;1
02545;BOMBER SOFT;SEMANA;;INVERNO 2021;;;2
02806;MACACAO  FRANCE;SEMANA;;VERÃO 2022;;;1
05465;MACACAO CANELA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2025;CANELA;;1
05686;BLUSA MANGA CURTA RIVER;SEMANA 18;MARROCAINE RW80136-1;INVERNO 2025;RIVER;FC - INV25 SEM 18 - 28/04;3
06857;MACACAO CELEBRATION;SEMANA 32;PATOU CHINA AT2302;VERÃO 2027;CELEBRATION;FC - VER27 SEM 32 - 03/08;1
01701;PANTACOURT TAITI;SEMANA;;INVERNO 2020;;;1
03596;TOP GOLD;SEMANA;;ALTO VERÃO 2023;;;1
04391;CROPPED GARDEN DETALHE V;SEMANA 11;TECIDO VERMONT CHINA RW55406-1;INVERNO 2024;GARDEN;FC - VER24 SEM46 - 13/11;9
05674;PANTALONA TWIGGY FLARE;CANCELADO;ATACAMA CHINA (AT-1909);ALTO VERÃO 2025;TWIGGY;;1
00297;PANTACOURT VISC SARJADA;SEMANA;;OUTONO/INVERNO 2016;;;1
00479;REGATA LIBERTY LEQUE;SEMANA;;VERÃO 2017;;;1
02256;MACACAO MIDI CONCEPT;SEMANA;;VERÃO 2021;;;1
02940;SHORT ASTRAL;SEMANA;;OFF;;;7
05598;MACAQUINHO PUREZA COM CINTO;SEMANA 40;MARRANT PEACH (AT2376);ALTO VERÃO 2025;PUREZA;FC - AV25 SEM 42 -14/10;2
02514;TOP MOMENTO;SEMANA;;OFF;;;5
02722;VESTIDO CURTO CHERIE;SEMANA;;VERÃO 2022;;;1
02950;SAIA MD ENERGIA;SEMANA;;INVERNO 2022;;;6
03035;CAMISA CORDEL;SEMANA;;INVERNO 2022;;;5
03920;PANTALONA LUNAR;SEMANA 23;LINHO WASHED PLUS P11LN0026;INVERNO 2023;;FC - INV23 SEM23 - 05/06;3
06417;CHEMISIER BLEND;SEMANA 10;LINHO C/ VISCOSE BRW310201;INVERNO 2026;BLEND;FC - INV26 SEM 10 - 02/03;2
02703;VESTIDO MD LOVELY;SEMANA;;VERÃO 2022;;;1
06145;SHORT MAM;SEMANA 42;LINHO 100%;ALTO VERÃO 2026;MAM;FC - AV26 SEM 42 - 13/10;3
06739;CALCA ALADIM GLACE;SEMANA 05;MARROCAINE LISO AT2374PD;INVERNO 2026;GLACE;FC - AV26 SEM 49 - 01/12 ;2
04198;MACACAO SWEET RECORTES;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;FC - VER24 SEM45 - 06/11;30
05490;VESTIDO CURTO DETALHE V MATCHA;CANCELADO;;VERÃO 2027;MATCHA;;3
06007;BLUSA DECOTE CANOA COLOR;SEMANA 45;VISCOSE ESSENCIAL ARW800098;INTERMEDIÁRIA;COLOR;FC - AV26 SEM 42 - 13/10;3
03972;BLUSA EST BLANCHE;SEMANA 41;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM40 - 02/10;2
04552;COLETE PUREZA TRANSPASSE;SEMANA 40;MARRANT PEACH (AT2376);VERÃO 2025;PUREZA;FC - AV25 SEM 42 -14/10;1
05765;PANTALONA BASIC SCULP;SEMANA 27;TECIDO VERMONT CHINA RW55406-1;INTERMEDIÁRIA;SCULP;FC - VER26 SEM 27 - 01/07;3
01664;CAMISA FOLHAGEM NUDE;SEMANA;;VERÃO 2020;;;1
02823;CROPPED LA MER;SEMANA;;VERÃO 2022;;;1
04073;VESTIDO DECOTE LACO MIDI;SEMANA 36;VISCOSE SARJADA SINERGY;VERÃO 2024;MAGIA;FC - VER23 SEM36 - 08/09;20
04475;CAMISA ESMERALDA MANGA SINO;SEMANA 10;MARROCAINE ESTAMPA ESMERALDA (PW80136-6);INVERNO 2024;ESMERALDA;FC - INV24 SEM11 - 11/03;1
05654;VESTIDO CURTO IRISH;SEMANA 10;GGT EST IRISH;INVERNO 2026;IRISH;FC - INV26 SEM 10 - 02/03;1
06129;PANTALONA WORK BASIC 2;SEMANA 21;VISCOSE ESSENCIAL ARW800098;CONTINUO;WORK;FC - VER26 BASIC - 01/07 ;2
00374;MACACAO MIDI NEW COQUEIRO;SEMANA;;VERÃO 2017;;;1
02619;MACACAO LG SUAVE;SEMANA;;VERÃO 2022;;;1
02765;VESIDOT MD ART DECO;SEMANA 18;;INVERNO 2023;ART DECO;;2
03684;CALCA GLOW;SEMANA;;ALTO VERÃO 2023;;;1
04816;BLUSA COLORIR MANGA BABADOS;SEMANA 28;CAMEL ESTAMPA COLORIR;VERÃO 2025;COLORIR;FC - VER25 SEM 31 - 29/07;1
05583;PANTALONA LIVING;CANCELADO;;VERÃO 2025;LIVING;;4
01558;PANTACOURT MOVIMENTO;SEMANA;;INVERNO 2019;;;1
01957;CAMISA LAVANDA;SEMANA;;OFF;;;3
03655;CALCA ELEGANCE;SEMANA 46;EST ELEGANCE BASE PARISE;VERÃO 2023;;FC - VER23 SEM45 - 07/11;1
04184;BLUSA ARCOS DETALHE ALCA;SEMANA 44;MARROCAINE EST ARCOS CHINA (PW80136-6);ALTO VERÃO 2024;ARCOS;FC - VER24 SEM44 - 30/10;1
05671;SAIA MIDI ARTICO;SEMANA 15;FLANELA LISTRADA ARTICO;INVERNO 2025;ARTICO;FC - INV25 SEM 15 - 07/04;3
06392;VESTIDO CROPPED FLORIAN;CANCELADO;;INVERNO 2026;FLORIAN;;2
00854;BLUSA 2/4 CRU;SEMANA;;OFF;;;1
02129;SAIA MIDI ILHA;SEMANA;;VERÃO 2021;;;1
02407;PANTALONA ESSENCIA;SEMANA;;INVERNO 2021;;;1
02979;SHORT URCA;SEMANA;;INVERNO 2022;;;5
03434;MACAQUINHO LEVE NEW;SEMANA;;OUTONO/INVERNO 2016;;;1
04255;BLUSA VIVER DECOTE RETO;SEMANA 40;VISCOSE SARJADA SINERGY;VERÃO 2024;VIVER;FC - VER24 SEM44 - 30/10;16
04268;PANTALONA RAIZES DETALHE VIVO;SEMANA 43;LINHO CHINA (AT2314);VERÃO 2024;RAIZES;FC - VER24 SEM42 - 14/10;16
04455;PANTALONA JOLIE PREGAS;SEMANA 07;VISCOSE TWILL;INVERNO 2024;JOLIE;FC - AV24 SEM02 - 02/01;4
04482;CROPPED CAMINHOS MANGA BUFANTE;SEMANA 07;LINHO CHINA (AT2314);INVERNO 2024;CAMINHOS;;4
04567;CROPPED VENICE DETALHE PALA;SEMANA 11;PATOU CHINA AT2302;INVERNO 2024;VENICE;FC - INV24 SEM11 - 11/03;16
05997;VESTIDO CURTO DECOTE COSTAS GALERIA;SEMANA 39;ESTAMPA CHIFFON POA PW500121-1;VERÃO 2026;GALERIA;FC - VER26 SEM 38 - 15/09;1
06128;PANTALONA WORK BASIC 1;SEMANA 21;ALFAIATARIA MARRANT NEW (AT2286);CONTINUO;WORK;FC - VER26 BASIC - 01/07 ;4
00503;REGATA BANANEIRA;SEMANA;;OUTONO/INVERNO 2017;;;1
01148;CROPPED NO;SEMANA;;OFF;;;6
01510;MAXI CARDIGAN TRICOT;SEMANA;;INVERNO 2019;;;2
01791;PANTALONA FOLHA POA;SEMANA;;VERÃO 2020;;;1
02717;PANTALONA LUNE;SEMANA;;INVERNO 2022;;;14
03497;BLUSA FUN;SEMANA 43;EST FUN ONCA PRINT;VERÃO 2023;FUN;FC - VER23 SEM43 - 24/10;1
01227;PANTACOURT BOTANICA;SEMANA;;VERÃO 2019;;;1
01647;MACACAO PALMEIRA PB;SEMANA;;VERÃO 2020;;;1
01798;VESTIDO TRACOS;SEMANA;;VERÃO 2020;;;1
02382;CROPPED ML ZEBRA;SEMANA;;OFF;ZEBRA;;1
03285;BLUSA SONETO;SEMANA;;VERÃO 2023;SONETO;;1
06042;CALCA CENOURA DETALHE VIVO TEXTURA;CANCELADO;;ALTO VERÃO 2026;TEXTURA;;2
00828;REGATA FRESH MARINHO;SEMANA;;VERÃO 2018;;;1
01758;REGATA TRACOS;SEMANA;;VERÃO 2020;;;1
05830;BLUSA DECOTE PALA CASA;CANCELADO;VISCOSE ESSENCIAL ARW800098;INVERNO 2026;CASA;;2
00693;REGATA LIRIO;SEMANA;;VERÃO 2018;;;1
02679;VESTIDO MD CHARM;SEMANA;;INVERNO 2022;;;9
03900;PANTALONA OASIS;SEMANA 20;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM23 - 05/06 ;2
05509;BLAZER CANELA ALONGADO;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2025;CANELA;;1
06546;BLUSA LUNGO;CANCELADO;;INVERNO 2026;LUNGO;;3
00758;CAMISA SINO TROPICAL;SEMANA;;VERÃO 2018;;;1
04227;CROPPED RAIZES PESPONTADO;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;RAIZES;;4
04232;SHORT FLORESCER BOTOES;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;FLORESCER;;1
04925;BLUSA PETALA ACETINADA CAMADAS;CANCELADO;PATOU NEW (RW82311);VERÃO 2025;PETALA;;1
05749;BLUSA MOUNTAIN ALCA REMOVIVEL;CANCELADO;PATOU CHINA AT2302;INVERNO 2025;MOUNTAIN;;4
05822;VESTIDO LONGO DECOTE V;CANCELADO;BROMELIA EST FAM 26 - LEQUES 9B1612;VERÃO 2026;;;1
00786;REGATA TRICOLOR;SEMANA;;VERÃO 2018;;;3
00852;BLUSA 2/4 FOG;SEMANA;;VERÃO 2018;;;1
03405;CAMISA LESIE;CANCELADO;;VERÃO 2023;;;1
04660;CAMISA RAVENA MANGA BUFANTE;SEMANA 28;PATOU NEW (RW82311);VERÃO 2025;RAVENA;;4
05823;PANTALONA COM PASSADOR INOX;SEMANA 27;EST INOX YK72664;VERÃO 2026;INOX;FC - VER26 SEM 27 - 01/07;1
00794;REGATA LINHO LISTRAS;SEMANA;;VERÃO 2018;;;2
03148;VESTIDO CURTO HARMONIA;SEMANA;;INVERNO 2022;;;1
03221;VESTIDO NORDESTE;SEMANA;;VERÃO 2023;;;5
03898;MACACAO GAIA;SEMANA 24;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM24 - 12/06;4
04197;VESTIDO CURTO SWEET RECORTE;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;FC - VER24 SEM45 - 06/11;30
05479;CALCA PANTALONA MATCHA;SEMANA 28;ATACAMA CHINA (AT-1909);VERÃO 2027;MATCHA;FC - VER27 SEM 28 - 06/07;3
06360;BLAZER ESSENCE;SEMANA 34;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2027;ESSENCE;FC - VER27 SEM 34 - 17/08;4
00373;KIMONO COQUEIRO;SEMANA;;VERÃO 2017;;;1
00500;PANTACOURT FREE;SEMANA;;OUTONO/INVERNO 2017;;;2
01361;SHORT LAPELA BOLSO;SEMANA;;OFF;;;2
02973;MACAQUINHO SINTONIA;SEMANA;;VERÃO 2022;;;1
03767;VESTIDO LONGO YANG;SEMANA 18;EST YANG BASE BROMELIA;INVERNO 2023;YANG;;1
04283;BLUSA ELEMENTO BASICA;SEMANA 44;MARRANT LUREX CHINA (ADS220326Q);ALTO VERÃO 2024;ELEMENTO;;12
04817;VESTIDO CURTO COLORIR MANGA BUFANTE;SEMANA 28;CAMEL ESTAMPA COLORIR;VERÃO 2025;COLORIR;FC - VER25 SEM 31 - 29/07;1
01108;CALCA BOY POLI;SEMANA;;VERÃO 2019;;;1
01449;SHORT PB;SEMANA;;OFF;;;1
02477;CALCA WAY;SEMANA;;INVERNO 2021;;;1
03188;SAIA LG TERRA;SEMANA;;INVERNO 2022;;;3
04076;CALCA CARGO DELUXE;SEMANA 35;PATOU CHINA AT2302;VERÃO 2024;SAFIRA;FC - VER24 SEM32 - 07/08;4
06822;BLUSA MANGA CURTA BASIC;SEMANA;VISCOSE ESSENCIAL ARW800098;CONTINUO;WORK;FC - INV26 SEM 19 - 04/05;3
02257;MACACAO CONCEPT;SEMANA;;VERÃO 2021;;;1
03263;PANTALONA DETALHE NY;CANCELADO;;VERÃO 2023;;;1
04549;CAMISA CELESTE;SEMANA 17;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;;1
01455;VESTIDO MIDI BOTOES;SEMANA;;INVERNO 2019;;;3
02439;TSHIRT ART;SEMANA;;VERÃO 2021;;;1
04349;CAMISA RAIZES MANGA BUFANTE;SEMANA 43;LINHO CHINA (AT2314);VERÃO 2024;RAIZES;FC - VER24 SEM42 - 14/10;16
04390;SHORT GARDEN DETALHE BOTOES;SEMANA 11;TECIDO VERMONT CHINA RW55406-1;INVERNO 2024;GARDEN;FC - VER24 SEM46 - 13/11;9
04642;BLAZER AURA BOTOES;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2024;AURA;;3
06757;CAMISA BLEND;SEMANA 10;LINHO C/ VISCOSE BRW310201;INVERNO 2026;BLEND;FC - INV26 SEM 10 - 02/03;3
01301;MACACAO LONGO LIBERTY;SEMANA;;VERÃO 2019;;;1
01685;PANTALONA POA ARTE;SEMANA;;VERÃO 2020;;;1
02009;BLUSA TRICOT LAVANDA;SEMANA;;VERÃO 2020;;;3
04139;MACACAO LONGO DISTE;SEMANA;;OUTONO/INVERNO 2016;;;0
04531;MACACAO CELESTE DECOTE TRANSPASSE;SEMANA 19;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;FC - INV24 SEM16 - 15/04;1
05673;REGATA TWIGGY;CANCELADO;ATACAMA CHINA (AT-1909);ALTO VERÃO 2025;TWIGGY;;1
02775;REGATA JARDIM;SEMANA;;OFF;;;1
04891;SHORT AMETISTA ALFAIATARIA;SEMANA 39;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2025;AMETISTA;FC - VER25 SEM 37- 09/09;1
04974;BLUSA GRAFFIC FRALDADA;SEMANA 39;RAYON BALI ESTAMPA GRAFFIC;VERÃO 2025;GRAFFIC;FC - VER25 SEM 36 - 02/09;1
01986;TOP FAIXA LINEN;SEMANA;;OFF;;;5
01990;CALCA COOL LINEN;SEMANA;;OFF;;;5
02624;VESTIDO CURTO NICE;SEMANA;EST NICE BASE NATHALY;OFF;NICE;;1
03017;SHORT CARCARA;SEMANA;;INVERNO 2022;;;9
04263;SHORT BLANCHE COM PASSADOR;SEMANA 41;ESTAMPA BLANCHE BASE LAS VEGAS;VERÃO 2024;BLANCHE;FC - VER24 SEM40 - 02/10;1
05328;CALCA LINHO DETALHE BOTOES SANTORINI;SEMANA 48;LINHO CHINA (AT2314);ALTO VERÃO 2025;SANTORINI;;2
06154;SAIA PAREO TEXTURA;SEMANA 05;VISCOSE FLASH AT 2232;INVERNO 2026;TEXTURA;FC - INV26 SEM 05 - 26/01;2
01383;KIMONO ETNICO;SEMANA;;INVERNO 2019;;;2
01401;CROPPED LASTEX;SEMANA;;OFF;;;5
02331;CALCA SENSE;SEMANA;;OFF;;;5
04701;VESTIDO CELEBRAR DETALHE LASTEX;SEMANA 28;HEAVY TWILL AIRJET;INVERNO 2024;CELEBRAR;FC - INV24 SEM23 - 03/06;9
05891;SHORT LINHO KIND;SEMANA 31;LINHO 100%;VERÃO 2026;KIND;FC - VER26 SEM 31 - 28/07;3
01347;REGATA BOTOES CAJU;SEMANA;;VERÃO 2019;;;1
02080;SHORT ATENAS;SEMANA;;OFF;;;9
04593;BLAZER PETALA DETALHE GOLA;CANCELADO;PATOU NEW (RW82311);INVERNO 2024;PETALA;;3
03515;VESTIDO MIDI VITRAL;SEMANA 04;EST VITRAL BASE BROMELIA;ALTO VERÃO 2023;;FC - AV23 SEM03 - 13/03;1
03925;BLUSA GAIA;SEMANA 24;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM24 - 12/06;3
04168;VESTIDO LONGO OVIEDO;SEMANA;;OUTONO/INVERNO 2016;;;0
04652;MACACAO VELVET BOTOES;CANCELADO;MARRANT PEACH (AT2376);INVERNO 2024;VELVET;;4
04924;VESTIDO CURTO ACETINADO PETALA;CANCELADO;PATOU NEW (RW82311);INVERNO 2024;PETALA;;1
01452;VESTIDO MIDI BALI;SEMANA;;INVERNO 2019;;;1
04186;KIMONO ARCOS COM FAIXA;SEMANA 44;MARROCAINE EST ARCOS CHINA (PW80136-6);ALTO VERÃO 2024;ARCOS;FC - VER24 SEM44 - 30/10;1
04750;SHORT AURA CLOCHARD;SEMANA 18;TECIDO VERMONT CHINA RW55406-1;INVERNO 2024;AURA;;3
05286;CALCA CENOURA CLEAN;CANCELADO;MARRANT PEACH (AT2376);VERÃO 2025;CLEAN;;2
00974;CIGANINHA GARDEN;SEMANA;;INVERNO 2018;;;1
01414;MACAQUINHO RAJADO OURO;SEMANA;;INVERNO 2019;;;1
01762;MACACAO MIDI ETNIAS;SEMANA;;VERÃO 2020;;;1
03409;REGATA FELINO;SEMANA;CODIGO DE BARRAS 43X75MM;VERÃO 2023;FELINO;;1
01666;CROPPED JARDIM PB;SEMANA;;VERÃO 2020;;;1
04626;BLUSA TSHIRT ONIX;SEMANA 19;MAQUINETADO (AT2231);INVERNO 2024;ONIX;FC - INV24 SEM25 - 12/06;1
06748;BLAZER LINHO LUST;SEMANA 32;LINHO 100%;VERÃO 2027;LUST;FC - VER27 SEM 32 - 03/08;3
00470;PANTACOURT FREE COQUEIRAL;SEMANA;;VERÃO 2017;;;1
00719;PANTALONA BARRA OFF;SEMANA;;VERÃO 2018;;;1
00915;VESTIDO COOL POA VERDE;SEMANA;;VERÃO 2018;;;2
02701;SAIA LG FEELING;SEMANA;;VERÃO 2022;;;1
04901;CALCA CENOURA RENOVAR BOLSOS;SEMANA 36;MARRANT PEACH (AT2376);VERÃO 2025;RENOVAR;FC - VER25 SEM 31 - 29/07;9
01256;VESTIDO MIDI BOTOES LATERAIS;SEMANA;;VERÃO 2019;;;3
01852;MAXI TSHIRT EUFORIA;SEMANA;;OFF;;;2
04064;VESTIDO MIDI EST NICE;SEMANA 21;EST NICE BASE NATHALY;INVERNO 2023;NICE;FC - INV23 SEM26 - 26/06 ;1
